shapeid,x,y,transit
579,-71.14179174,42.39596505,yes
580,-71.10003903,42.39586667,yes
581,-71.1202732,42.39603259,yes
582,-71.10102426,42.396267,yes
583,-71.09869297,42.39631376,yes
584,-71.09875108,42.39636769,yes
585,-71.12188844,42.39661259,yes
586,-71.12907447,42.39671285,yes
587,-71.10223258,42.39666624,yes
588,-71.12210932,42.39677431,yes
589,-71.15910731,42.39693684,yes
590,-71.10256337,42.3967706,yes
591,-71.12287989,42.3969656,yes
592,-71.06502287,42.39683381,yes
593,-71.0649407,42.39692277,yes
594,-71.10418535,42.39708187,yes
595,-71.15939124,42.39733449,yes
596,-71.09112776,42.3971283,yes
597,-71.0911925,42.39717674,yes
598,-71.104058,42.39725558,yes
599,-71.10413834,42.39728057,yes
600,-71.13013198,42.39736717,yes
601,-71.09996248,42.39743421,yes
602,-71.10012577,42.39757316,yes
603,-71.10514865,42.3975983,yes
604,-71.09204882,42.39775953,yes
605,-71.10594022,42.39784224,yes
606,-71.09201554,42.39786007,yes
607,-71.13102783,42.39800887,yes
608,-71.12376735,42.39803325,yes
609,-71.16110825,42.39823148,yes
610,-71.16169546,42.39850773,yes
611,-71.10759245,42.39837445,yes
612,-71.06372153,42.39825605,yes
613,-71.10777906,42.39842851,yes
614,-71.12089646,42.39852783,yes
615,-71.07125863,42.39845922,yes
616,-71.14656952,42.39892472,yes
617,-71.10195784,42.39888335,yes
618,-71.14623149,42.39905874,yes
619,-71.10214953,42.39900263,yes
620,-71.06308888,42.39892546,yes
621,-71.12473669,42.39923089,yes
622,-71.13305147,42.39951372,yes
623,-71.11883432,42.39948605,yes
624,-71.11876639,42.39952927,yes
625,-71.13331168,42.39978004,yes
626,-71.12516235,42.39976471,yes
627,-71.11181242,42.39978601,yes
628,-71.09544816,42.39980742,yes
629,-71.09521804,42.39981348,yes
630,-71.11219043,42.39991531,yes
631,-71.07060949,42.39988929,yes
632,-71.13527559,42.40053672,yes
633,-71.11733926,42.40050538,yes
634,-71.13518879,42.40061144,yes
635,-71.11408973,42.40054377,yes
636,-71.11445037,42.40066182,yes
637,-71.10453093,42.40073454,yes
638,-71.11908871,42.40080013,yes
639,-71.11828665,42.40081491,yes
640,-71.10458796,42.40077825,yes
641,-71.11756114,42.40084683,yes
642,-71.11695941,42.40085382,yes
643,-71.11723033,42.40086799,yes
644,-71.12604497,42.4009033,yes
645,-71.12615896,42.40105626,yes
646,-71.11620257,42.40107669,yes
647,-71.11626811,42.40108495,yes
648,-71.12091782,42.40114054,yes
649,-71.13684329,42.40140716,yes
650,-71.12202427,42.40140372,yes
651,-71.12282087,42.40160191,yes
652,-71.13721873,42.40169924,yes
653,-71.11685834,42.40165421,yes
654,-71.11686693,42.40170853,yes
655,-71.07030281,42.4016828,yes
656,-71.10634164,42.40210866,yes
657,-71.1247687,42.40221111,yes
658,-71.12484365,42.40224178,yes
659,-71.10645865,42.40218447,yes
660,-71.15766636,42.40235708,yes
661,-71.12681458,42.40249694,yes
662,-71.09839772,42.40243609,yes
663,-71.0986878,42.40256138,yes
664,-71.13841456,42.4027087,yes
665,-71.15570468,42.40278193,yes
666,-71.13854576,42.40281282,yes
667,-71.07608751,42.40262885,yes
668,-71.12637576,42.40291574,yes
669,-71.06754497,42.40277907,yes
670,-71.06765333,42.40279009,yes
671,-71.15984236,42.40339155,yes
672,-71.11890607,42.37402923,yes
673,-71.08619149,42.36241534,yes
674,-71.06460214,42.35302132,yes
675,-71.12223402,42.39675186,yes
676,-71.07711744,42.40174005,yes
677,-71.07693157,42.38429742,yes
678,-71.07033822,42.37390813,yes
679,-71.07715771,42.37091787,yes
680,-71.06774399,42.36674243,yes
681,-71.14207731,42.39612103,yes
682,-71.11911422,42.38832048,yes
683,-71.10382518,42.36543994,yes
684,-71.07108061,42.36116762,yes
685,-71.06419884,42.3533707,yes
686,-71.07712534,42.39215591,yes
